日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率市值加权
2024-07-24,3418.17,4857.52,50625474933436.18,37567967670907,17114960612658,0.0332
2024-06-28,3461.66,4870.47,50957393899625.38,37882958129889,17305150259651,0.033
2024-05-31,3579.92,4996.33,51152080763140.78,38424225746523,17706384354451,0.0326
2024-04-30,3604.39,5019.19,51384121515883.2,38540660586052,17756820258067,0.0325
2024-03-29,3537.48,4920.26,50264387979721.13,37470045279583,17305773231180,0.0321
2024-02-29,3516.08,4890.36,49664843518383.58,37040295401357,17165232549723,0.0326
2024-01-31,3215.35,4472.09,46132762499866.77,34140041854910,15699022882693,0.035
2023-12-29,3431.11,4772.18,47173444687708.1,35274479327195,16833479930315,0.0343
2023-11-30,3496.2,4857.64,46113326978100.34,35469593277745,16825025725146,0.0339
2023-10-31,3572.51,4962.49,46854298711657.555,35900471784051,17106417719115,0.0334
2023-09-28,3689.52,5121.09,48384000107309.164,37103342407219,17707971231931,0.0322
2023-08-31,3765.27,5223.55,48934106800123.82,37521430023116,18012390515480,0.0318
2023-07-31,4014.63,5558.39,51579510824713.9,39701334223642,19151622464656,0.0306
2023-06-30,3842.45,5275.95,49718722664521.62,38068368609046,18189116599239,0.0319
2023-05-31,3798.54,5166.12,49170299922367.31,37188548580839,18036769183859,0.032
2023-04-28,4029.09,5470.07,51595252777361.85,38993173740512,18989181995192,0.0296
2023-03-31,4050.93,5497.03,50355400428097.14,38237912916600,18892025311150,0.0301
2023-02-28,4069.46,5522,49823713286168.63,37833679817593,19173645222505,0.0303
2023-01-31,4156.86,5639.29,50228445086357.234,38240698023480,19444281756006,0.0301
2022-12-30,3871.63,5251.97,47351994785473.41,35914752710395,18136066808112,0.0319
2022-11-30,3853.04,5218.82,46984000594954.17,35486945589743,17865868090108,0.0321
2022-10-31,3508.7,4751.83,42754883410858.19,32032559110055,16086457849507,0.0345
2022-09-30,3804.89,5149.23,46091170046070.766,34890462664162,17381627679616,0.032
2022-08-31,4078.84,5517.09,48498142396696.22,36638136541633,18894050458318,0.0304
2022-07-29,4170.1,5627.26,48900922038073.63,36911348353923,18969385367941,0.028
2022-06-30,4485.01,6008.25,52442122114648.3,39588037424504,20432331095490,0.0261
2022-05-31,4091.52,5440.86,46206264826135.69,35795492733228,18293614051925,0.0281
2022-04-29,4016.24,5330.21,45356505569602.92,35072956749904,17817556580895,0.029
2022-03-31,4222.6,5599.84,47097159297481.75,36305499494501,18648115847904,0.0273
2022-02-28,4581.65,6075.87,50345193922966.83,38849764717073,20189027483651,0.0228
2022-01-28,4563.77,6052.16,49789044642575.42,38345678292995,20055531933857,0.023
2021-12-31,4940.37,6551.59,53254166555172.33,41063799310065,21599636267636,0.0215
2021-11-30,4832.03,6407.89,47853906968120.98,37585702405636,19642265549856,0.0239
2021-10-29,4908.77,6509.03,48739558339111,38194709732832,19798397308946,0.0235
2021-09-30,4866.38,6447.75,48594336464427.47,38029108814846,19593469329251,0.0235
2021-08-31,4805.61,6366.06,47795817236438.51,37090404442920,19407468066193,0.0239
2021-07-30,4811.17,6357.65,47320053431652.61,36643845601479,19180113572446,0.0235
2021-06-30,5224.04,6859.06,51530205475839.79,39913274180687,20813354484267,0.0216
2021-05-31,5331.57,6961.77,51071820231337.93,39825301585284,20664762341836,0.0219
2021-04-30,5123.49,6682.75,49023500623622.6,37997377771307,19665313852920,0.0229
2021-03-31,5048.36,6578.3,48935215522491.22,37619131999880,19249648036175,0.0222
2021-02-26,5336.76,6953.88,51000125677736.66,39224823533709,20286055811542,0.0213
2021-01-29,5351.96,6973.69,50957652206932.78,38990333019800,20243253672577,0.0213
2020-12-31,5211.29,6790.39,49599051173675.63,37949781201987,19488895526268,0.0218
2020-11-30,4960.25,6462.76,47026009141475.3,35873118780983,17965508543797,0.0232
