日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-07-24,3418.17,4857.52,50625474933436.18,37567967670907,17114960612658,11.7665,0.2873,16.6332,13.167,11.2401
2024-06-28,3461.66,4870.47,50957393899625.38,37882958129889,17305150259651,11.8433,0.3059,16.6721,13.1799,11.2351
2024-05-31,3579.92,4996.33,51152080763140.78,38424225746523,17706384354451,12.0172,0.3418,16.705,13.1971,11.2316
2024-04-30,3604.39,5019.19,51384121515883.2,38540660586052,17756820258067,12.0687,0.35,16.745,13.2124,11.2297
2024-03-29,3537.48,4920.26,50264387979721.13,37470045279583,17305773231180,11.6248,0.2602,16.7581,13.2314,11.2261
2024-02-29,3516.08,4890.36,49664843518383.58,37040295401357,17165232549723,11.4261,0.2267,16.7924,13.2459,11.211
2024-01-31,3215.35,4472.09,46132762499866.77,34140041854910,15699022882693,10.6147,0.1322,16.8046,13.2589,11.2276
2023-12-29,3431.11,4772.18,47173444687708.1,35274479327195,16833479930315,10.8541,0.1489,16.8342,13.2681,11.2431
2023-11-30,3496.2,4857.64,46113326978100.34,35469593277745,16825025725146,10.9695,0.1577,16.8458,13.2813,11.2669
2023-10-31,3572.51,4962.49,46854298711657.555,35900471784051,17106417719115,11.1393,0.1785,16.8993,13.2962,11.2971
2023-09-28,3689.52,5121.09,48384000107309.164,37103342407219,17707971231931,11.5222,0.2232,16.9231,13.3163,11.3079
2023-08-31,3765.27,5223.55,48934106800123.82,37521430023116,18012390515480,11.6532,0.2459,16.9684,13.3332,11.2994
2023-07-31,4014.63,5558.39,51579510824713.9,39701334223642,19151622464656,12.0961,0.3298,17.0492,13.3485,11.2935
2023-06-30,3842.45,5275.95,49718722664521.62,38068368609046,18189116599239,11.6839,0.2499,17.0972,13.3701,11.2833
2023-05-31,3798.54,5166.12,49170299922367.31,37188548580839,18036769183859,11.6896,0.2515,17.1494,13.3914,11.2805
2023-04-28,4029.09,5470.07,51595252777361.85,38993173740512,18989181995192,12.2122,0.3444,17.1919,13.4036,11.2741
2023-03-31,4050.93,5497.03,50355400428097.14,38237912916600,18892025311150,12.0804,0.3217,17.2361,13.4134,11.2659
2023-02-28,4069.46,5522,49823713286168.63,37833679817593,19173645222505,11.9127,0.2921,17.2481,13.4229,11.2643
2023-01-31,4156.86,5639.29,50228445086357.234,38240698023480,19444281756006,12.0098,0.3073,17.3073,13.4436,11.2605
2022-12-30,3871.63,5251.97,47351994785473.41,35914752710395,18136066808112,11.3221,0.2092,17.3668,13.4588,11.2497
2022-11-30,3853.04,5218.82,46984000594954.17,35486945589743,17865868090108,11.3044,0.2075,17.4962,13.4736,11.258
2022-10-31,3508.7,4751.83,42754883410858.19,32032559110055,16086457849507,10.2895,0.1094,17.5384,13.4825,11.2801
2022-09-30,3804.89,5149.23,46091170046070.766,34890462664162,17381627679616,11.1959,0.1874,17.5735,13.491,11.2971
2022-08-31,4078.84,5517.09,48498142396696.22,36638136541633,18894050458318,11.7806,0.2555,17.6835,13.5057,11.2971
2022-07-29,4170.1,5627.26,48900922038073.63,36911348353923,18969385367941,12.1146,0.3042,17.7611,13.5154,11.2863
2022-06-30,4485.01,6008.25,52442122114648.3,39588037424504,20432331095490,12.9868,0.4101,17.8493,13.5334,11.2824
2022-05-31,4091.52,5440.86,46206264826135.69,35795492733228,18293614051925,12.2009,0.32,18.0321,13.5543,11.2749
2022-04-29,4016.24,5330.21,45356505569602.92,35072956749904,17817556580895,11.8381,0.2686,18.1424,13.571,11.2659
2022-03-31,4222.6,5599.84,47097159297481.75,36305499494501,18648115847904,12.353,0.3367,18.1991,13.5802,11.2651
2022-02-28,4581.65,6075.87,50345193922966.83,38849764717073,20189027483651,13.2458,0.4412,18.3472,13.6049,11.2593
2022-01-28,4563.77,6052.16,49789044642575.42,38345678292995,20055531933857,13.1003,0.4182,18.4956,13.6174,11.2497
2021-12-31,4940.37,6551.59,53254166555172.33,41063799310065,21599636267636,14.0131,0.5484,18.7531,13.614,11.2359
2021-11-30,4832.03,6407.89,47853906968120.98,37585702405636,19642265549856,12.9473,0.3986,18.8452,13.6049,11.2316
2021-10-29,4908.77,6509.03,48739558339111,38194709732832,19798397308946,13.303,0.4519,18.9726,13.6288,11.2261
2021-09-30,4866.38,6447.75,48594336464427.47,38029108814846,19593469329251,13.1123,0.424,19.1085,13.6413,11.2046
2021-08-31,4805.61,6366.06,47795817236438.51,37090404442920,19407468066193,12.8968,0.3983,19.2301,13.6637,11.1969
