日期,收盘,开盘,高,低,涨跌幅
2024/7/1,1.495,1.515,1.566,1.49,-2.57%
2024/6/1,1.534,1.68,1.69,1.51,-6.75%
2024/5/1,1.645,1.78,1.803,1.591,-2.08%
2024/4/1,1.68,1.86,1.86,1.543,-4.44%
2024/3/1,1.758,1.797,1.92,1.718,-1.12%
2024/2/1,1.778,1.945,2.025,1.741,-7.35%
2024/1/1,1.919,2.213,2.25,1.856,-11.57%
2023/12/1,2.17,2.49,2.54,2.155,-10.37%
2023/11/1,2.421,2.373,2.505,2.31,3.68%
2023/10/1,2.335,2.18,2.375,2.107,7.90%
2023/9/1,2.164,1.94,2.243,1.93,11.72%
2023/8/1,1.937,1.852,2.03,1.653,11.32%
2023/7/1,1.74,1.9,1.92,1.665,-6.60%
2023/6/1,1.863,2.054,2.054,1.808,-4.95%
2023/5/1,1.96,2.2,2.2,1.935,-7.33%
2023/4/1,2.115,2.245,2.3,2.105,-4.30%
2023/3/1,2.21,2.375,2.4,2.151,-3.75%
2023/2/1,2.296,2.12,2.37,2.035,8.56%
2023/1/1,2.115,2.155,2.22,2.065,-1.54%
2022/12/1,2.148,2.143,2.37,2.132,-0.19%
2022/11/1,2.152,1.732,2.32,1.703,24.39%
2022/10/1,1.73,1.755,1.851,1.714,-4.58%
2022/9/1,1.813,1.72,1.88,1.662,6.09%
2022/8/1,1.709,1.72,1.939,1.553,0.23%
2022/7/1,1.705,1.949,2.005,1.693,-10.92%
2022/6/1,1.914,2.018,2.121,1.903,-3.82%
2022/5/1,1.99,2.21,2.21,1.961,-7.36%
2022/4/1,2.148,2.167,2.203,1.95,0.05%
2022/3/1,2.147,2.115,2.28,2.02,3.67%
2022/2/1,2.071,2.055,2.097,1.857,3.81%
2022/1/1,1.995,2.23,2.233,1.975,-9.11%
2021/12/1,2.195,2.185,2.45,2.13,1.20%
2021/11/1,2.169,2.37,2.37,2.111,-3.04%
2021/10/1,2.237,2.365,2.39,2.236,-2.53%
2021/9/1,2.295,2.36,2.42,2.23,2.09%
2021/8/1,2.248,2.23,2.36,2.11,14.69%
2021/7/1,1.96,2.358,2.358,1.925,-15.59%
2021/6/1,2.322,2.588,2.588,2.313,-9.40%
2021/5/1,2.563,2.65,2.665,2.513,-1.80%
2021/4/1,2.61,2.561,2.802,2.462,2.76%
2021/3/1,2.54,2.572,2.67,2.535,-5.82%
2021/2/1,2.697,2.85,2.875,2.627,-4.70%
2021/1/1,2.83,2.718,2.84,2.365,4.81%
2020/12/1,2.7,3.05,3.1,2.688,-12.34%
2020/11/1,3.08,2.802,3.145,2.719,12.41%
2020/10/1,2.74,2.719,2.75,2.62,4.98%
2020/9/1,2.61,2.51,2.7,2.505,4.27%
2020/8/1,2.503,2.37,2.55,2.277,10.12%
2020/7/1,2.273,2.15,2.47,2.13,5.23%
2020/6/1,2.16,1.65,2.28,1.64,34.08%
2020/5/1,1.611,1.21,1.611,1.18,40.94%
2020/4/1,1.143,1.72,1.755,1.143,-37.20%
2020/3/1,1.82,2.087,2.128,1.75,-12.33%
2020/2/1,2.076,2.25,2.266,2,-9.34%
2020/1/1,2.29,2.44,2.5,2.29,-6.15%
2019/12/1,2.44,2.7,2.745,2.41,-8.96%
2019/11/1,2.68,2.75,2.775,2.65,-1.47%
2019/10/1,2.72,2.63,2.75,2.63,1.87%
2019/9/1,2.67,2.58,2.674,2.52,5.24%
2019/8/1,2.537,2.609,2.611,2.483,-1.93%
2019/7/1,2.587,2.68,2.68,2.565,-2.52%
2019/6/1,2.654,2.577,2.725,2.531,3.39%
2019/5/1,2.567,2.65,2.68,2.567,-4.39%
2019/4/1,2.685,2.468,2.77,2.39,11.92%
2019/3/1,2.399,2.429,2.5,2.38,-0.42%
2019/2/1,2.409,2.43,2.455,2.293,-0.25%
2019/1/1,2.415,2.48,2.49,2.268,-6.21%
2018/12/1,2.575,2.66,2.888,2.575,-2.65%
2018/11/1,2.645,2.85,2.85,2.525,-6.77%
2018/10/1,2.837,2.96,2.965,2.825,-5.12%
2018/9/1,2.99,2.88,3.02,2.812,5.43%
2018/8/1,2.836,2.885,2.953,2.623,-1.97%
2018/7/1,2.893,3.25,3.25,2.893,-9.88%
2018/6/1,3.21,3.195,3.307,3.177,0.78%
2018/5/1,3.185,3.067,3.195,2.9,5.92%
2018/4/1,3.007,3.42,3.42,2.957,-10.24%
2018/3/1,3.35,3.29,3.385,3.263,1.12%
2018/2/1,3.313,3.6,3.6,3.313,-7.54%
2018/1/1,3.583,3.8,3.8,3.54,-5.78%
2017/12/1,3.803,3.72,3.88,3.66,2.78%
2017/11/1,3.7,3.607,3.72,3.51,3.27%
2017/10/1,3.583,3.5,3.6,3.475,3.55%
2017/9/1,3.46,3.428,3.55,3.419,0.93%
2017/8/1,3.428,3.442,3.463,3.209,0.00%
2017/7/1,3.428,3.45,3.5,3.38,-0.72%
2017/6/1,3.453,3.495,3.695,3.423,-0.63%
2017/5/1,3.475,3.2,3.515,3.16,9.97%
2017/4/1,3.16,2.893,3.17,2.893,9.53%
2017/3/1,2.885,2.776,2.946,2.776,3.67%
2017/2/1,2.783,2.84,2.947,2.748,0.47%
2017/1/1,2.77,2.68,2.844,2.68,0.69%
2016/12/1,2.751,2.333,3.137,2.28,19.61%
2016/11/1,2.3,2.195,2.3,2.161,5.02%
2016/10/1,2.19,2.25,2.25,2.145,0.23%
2016/9/1,2.185,2.153,2.25,2.069,1.63%
2016/8/1,2.15,2.25,2.265,2.105,-4.02%
2016/7/1,2.24,2.39,2.41,2.233,-6.28%
2016/6/1,2.39,2.353,2.428,2.34,2.22%
2016/5/1,2.338,2.3,2.39,2.17,5.41%
2016/4/1,2.218,2.15,2.35,2.15,2.54%
2016/3/1,2.163,2.287,2.287,2.09,-5.09%
2016/2/1,2.279,2.45,2.45,2.24,-4.76%
2016/1/1,2.393,2.4,2.4,2.295,2.75%
2015/12/1,2.329,2.6,2.615,2.317,-10.39%
2015/11/1,2.599,2.4,2.65,2.357,9.25%
2015/10/1,2.379,2.38,2.536,2.348,0.81%
2015/9/1,2.36,2.363,2.38,2.248,2.30%
2015/8/1,2.307,2.3,2.4,2.096,2.72%
2015/7/1,2.246,1.767,2.517,1.6,27.11%
2015/6/1,1.767,2.05,2.05,1.703,-9.85%
2015/5/1,1.96,2.72,2.758,1.886,-31.68%
2015/4/1,2.869,3.197,3.227,2.843,-10.06%
2015/3/1,3.19,3.12,3.25,3.067,3.67%
2015/2/1,3.077,3.2,3.2,3.058,-2.35%
2015/1/1,3.151,3.29,3.3,3.133,-3.43%
2014/12/1,3.263,3.05,3.55,3.05,6.29%
2014/11/1,3.07,3.33,3.393,3.043,-9.86%
2014/10/1,3.406,3.76,3.8,3.4,-9.58%
2014/9/1,3.767,3.85,3.85,3.76,-0.84%
2014/8/1,3.799,3.778,3.84,3.724,0.96%
2014/7/1,3.763,3.4,3.9,3.25,11.66%
2014/6/1,3.37,3.22,3.4,2.98,0.30%
2014/5/1,3.36,3.61,3.65,3.26,-7.95%
2014/4/1,3.65,2.85,3.65,2.82,27.18%
2014/3/1,2.87,3.31,3.45,2.79,-11.69%
2014/2/1,3.25,3.64,4.254,3.25,-9.47%
2014/1/1,3.59,4.14,4.3,3.59,-12.86%
2013/12/1,4.12,4.02,4.25,3.94,0.00%
2013/11/1,4.12,4.11,4.3,3.72,8.42%
2013/10/1,3.8,3.75,4.1,3.4,10.14%
2013/9/1,3.45,3.65,3.75,3.4,-4.17%
2013/8/1,3.6,3.53,3.72,3.34,2.86%
2013/7/1,3.5,3.41,3.6,3.23,2.04%
2013/6/1,3.43,2.9,4.05,2.77,17.87%
2013/5/1,2.91,2.7,2.92,2.64,0.69%
2013/4/1,2.89,2.68,2.92,2.589,9.44%
2013/3/1,2.641,2.77,2.91,2.64,-3.97%
2013/2/1,2.75,2.73,2.91,2.616,-4.84%
2013/1/1,2.89,2.86,2.95,2.678,-0.34%
2012/12/1,2.9,2.88,2.96,2.69,0.69%
2012/11/1,2.88,2.98,3.05,2.69,-1.71%
2012/10/1,2.93,2.83,3.05,2.65,4.64%
2012/9/1,2.8,2.7,2.961,2.45,3.70%
2012/8/1,2.7,2.3,2.75,2.2,15.38%
2012/7/1,2.34,2.36,2.44,2.15,1.74%
2012/6/1,2.3,2.26,2.44,2.05,-4.17%
2012/5/1,2.4,2.83,3,2.19,-16.08%
2012/4/1,2.86,2.85,3,2.75,0.00%
2012/3/1,2.86,2.93,3.05,2.734,-3.38%
2012/2/1,2.96,2.77,3.05,2.7,8.42%
2012/1/1,2.73,2.75,2.95,2.45,5.00%
2011/12/1,2.6,2.53,2.81,2.4,4.00%
2011/11/1,2.5,3.13,3.3,2.38,-20.63%
2011/10/1,3.15,3.56,3.92,3,-12.01%
2011/9/1,3.58,3.91,4.05,3.54,-9.37%
2011/8/1,3.95,3.76,4.05,3.398,4.22%
2011/7/1,3.79,3.56,3.9,2.98,9.86%
2011/6/1,3.45,3.07,3.85,2.92,13.11%
2011/5/1,3.05,2.87,3.42,2.05,8.93%
2011/4/1,2.8,2.9,3.3,2.05,-3.45%
2011/3/1,2.9,2.96,3.2,2.75,-9.37%
2011/2/1,3.2,3.29,3.3,2.87,3.23%
2011/1/1,3.1,2.6,3.47,2.6,5.08%
2010/12/1,2.95,2.81,3.42,2.18,25.53%
2010/11/1,2.35,1.9,2.85,1.9,18.69%
2010/10/1,1.98,1.92,2.1,1.8,7.03%
2010/9/1,1.85,1.88,2.1,1.75,-1.90%
2010/8/1,1.886,1.96,2.1,1.75,-3.29%
